t,lb,ts,s,userId,rc,shop,search__phrase,productId,hrts
754,SU01-HomePage-Page,1330419301862,true,PT1022809551,200,MAF,gants,,2012-02-28T08:55:01.862Z
836,SU11-SearchPhrase-Page,1330419314391,true,PT1022809551,200,MAF,gants,8519304225180894762,2012-02-28T08:55:14.391Z
1177,SU12b-PickProduct-Page,1330419324275,true,PT1022809551,200,MAF,gants,8519304225180894762,2012-02-28T08:55:24.275Z
613,SU31-AddToCart-Page,1330419334583,true,PT1022809551,200,MAF,gants,8519304225180894762,2012-02-28T08:55:34.583Z
363,SU01-HomePage-Page,1330419343455,true,PT2022809551,200,MAF,bidon,,2012-02-28T08:55:43.455Z
998,SU32-GoToCart-Page,1330419346415,true,PT1022809551,200,MAF,gants,8519304225180894762,2012-02-28T08:55:46.415Z
757,SU11-SearchPhrase-Page,1330419354231,true,PT2022809551,200,MAF,bidon,8519304225180876557,2012-02-28T08:55:54.231Z
541,SU41-CustomerDetails-Page,1330419356874,true,PT1022809551,200,MAF,gants,8519304225180894762,2012-02-28T08:55:56.874Z
710,SU42-DeliveryAndBilling-Page,1330419365868,true,PT1022809551,200,MAF,gants,8519304225180894762,2012-02-28T08:56:05.868Z
1496,SU12b-PickProduct-Page,1330419365655,true,PT2022809551,200,MAF,bidon,8519304225180876557,2012-02-28T08:56:05.655Z
1824,SU43-Paiment-Page,1330419376738,true,PT1022809551,200,MAF,gants,8519304225180894762,2012-02-28T08:56:16.738Z
683,SU31-AddToCart-Page,1330419378350,true,PT2022809551,200,MAF,bidon,8519304225180876557,2012-02-28T08:56:18.350Z
369,SU01-HomePage-Page,1330419384967,true,PT3022809561,200,MAF,signalisation,,2012-02-28T08:56:24.967Z
930,SU32-GoToCart-Page,1330419389438,true,PT2022809551,200,MAF,bidon,8519304225180876557,2012-02-28T08:56:29.438Z
588,SU11-SearchPhrase-Page,1330419396139,true,PT3022809561,200,MAF,signalisation,8519304225180871538,2012-02-28T08:56:36.139Z
754,SU41-CustomerDetails-Page,1330419398826,true,PT2022809551,200,MAF,bidon,8519304225180876557,2012-02-28T08:56:38.826Z
1677,SU61-BrowseCat2-Page,1330419400134,true,PT1022809551,200,MAF,gants,8519304225180894762,2012-02-28T08:56:40.134Z
727,SU12b-PickProduct-Page,1330419405962,true,PT3022809561,200,MAF,signalisation,8519304225180871538,2012-02-28T08:56:45.962Z
352,SU01-HomePage-Page,1330419409807,true,PT1022809561,200,KEY,heaters,8519304225180894762,2012-02-28T08:56:49.807Z
715,SU42-DeliveryAndBilling-Page,1330419409573,true,PT2022809551,200,MAF,bidon,8519304225180876557,2012-02-28T08:56:49.573Z
649,SU31-AddToCart-Page,1330419419430,true,PT3022809561,200,MAF,signalisation,8519304225180871538,2012-02-28T08:56:59.430Z
937,SU11-SearchPhrase-Page,1330419420170,true,PT1022809561,200,KEY,heaters,8660117787514683199,2012-02-28T08:57:00.170Z
1974,SU43-Paiment-Page,1330419420656,true,PT2022809551,200,MAF,bidon,8519304225180876557,2012-02-28T08:57:00.656Z
654,SU01-HomePage-Page,1330419426557,true,PT4022809571,200,OIN,locker,,2012-02-28T08:57:06.557Z
794,SU32-GoToCart-Page,1330419432095,true,PT3022809561,200,MAF,signalisation,8519304225180871538,2012-02-28T08:57:12.095Z
