t,lb,ts,s,userId,rc,shop,search__phrase,productId
976,SU01-HomePage-Page,1330418007548,true,PT1022809331,200,FAB,bac plastique,
428,SU01-HomePage-Page,1330418008099,true,PT3022809331,200,KIE,149b008ns,
456,SU01-HomePage-Page,1330418008377,true,PT4022809331,200,MAF,gants,
2303,SU01-HomePage-Page,1330418007828,true,PT2022809331,200,KEY,heaters,
440,SU11-SearchPhrase-Page,1330418010501,true,PT3022809331,200,KIE,149b008ns,
1516,SU11-SearchPhrase-Page,1330418009460,true,PT4022809331,200,MAF,gants,8519304225180884145
1184,SU11-SearchPhrase-Page,1330418010792,true,PT1022809331,200,FAB,bac plastique,8563771665917872437
1395,SU11-SearchPhrase-Page,1330418012244,true,PT2022809331,200,KEY,heaters,8660117787514683199
2168,SU12b-PickProduct-Page,1330418012214,true,PT3022809331,200,KIE,149b008ns,
1987,SU12b-PickProduct-Page,1330418012620,true,PT1022809331,200,FAB,bac plastique,8563771665917872437
1733,SU12b-PickProduct-Page,1330418013070,true,PT4022809331,200,MAF,gants,8519304225180884145
897,SU61-BrowseCat2-Page,1330418014468,true,PT3022809331,200,KIE,149b008ns,
924,SU31-AddToCart-Page,1330418015011,true,PT1022809331,200,FAB,bac plastique,8563771665917872437
359,SU01-HomePage-Page,1330418015891,true,PT3022809331,200,MCZ,42153,
606,SU32-GoToCart-Page,1330418016616,true,PT1022809331,200,FAB,bac plastique,8563771665917872437
3223,SU12b-PickProduct-Page,1330418014927,true,PT2022809331,200,KEY,heaters,8660117787514683199
1257,SU31-AddToCart-Page,1330418017068,true,PT4022809331,200,MAF,gants,8519304225180884145
180,SU41-CustomerDetails-Page,1330418018883,true,PT1022809331,200,FAB,bac plastique,8563771665917872437
1188,SU31-AddToCart-Page,1330418018222,true,PT2022809331,200,KEY,heaters,8660117787514683199
2848,SU11-SearchPhrase-Page,1330418016877,true,PT3022809331,200,MCZ,42153,
1147,SU32-GoToCart-Page,1330418020107,true,PT2022809331,200,KEY,heaters,8660117787514683199
928,SU32-GoToCart-Page,1330418020465,true,PT4022809331,200,MAF,gants,8519304225180884145
447,SU42-DeliveryAndBilling-Page,1330418022006,true,PT1022809331,200,FAB,bac plastique,8563771665917872437
1661,SU12b-PickProduct-Page,1330418020822,true,PT3022809331,200,MCZ,42153,
643,SU41-CustomerDetails-Page,1330418022360,true,PT2022809331,200,KEY,heaters,8660117787514683199
535,SU41-CustomerDetails-Page,1330418022860,true,PT4022809331,200,MAF,gants,8519304225180884145
1408,SU43-Paiment-Page,1330418023034,true,PT1022809331,200,FAB,bac plastique,8563771665917872437
800,SU42-DeliveryAndBilling-Page,1330418024012,true,PT4022809331,200,MAF,gants,8519304225180884145
1336,SU31-AddToCart-Page,1330418023936,true,PT3022809331,200,MCZ,42153,
1102,SU42-DeliveryAndBilling-Page,1330418025087,true,PT2022809331,200,KEY,heaters,8660117787514683199
801,SU32-GoToCart-Page,1330418026022,true,PT3022809331,200,MCZ,42153,
320,SU41-CustomerDetails-Page,1330418028109,true,PT3022809331,200,MCZ,42153,
1924,SU43-Paiment-Page,1330418026929,true,PT2022809331,200,KEY,heaters,8660117787514683199
2217,SU43-Paiment-Page,1330418026665,true,PT4022809331,200,MAF,gants,8519304225180884145
1317,SU61-BrowseCat2-Page,1330418027949,true,PT1022809331,200,FAB,bac plastique,8563771665917872437
636,SU42-DeliveryAndBilling-Page,1330418030301,true,PT3022809331,200,MCZ,42153,
327,SU01-HomePage-Page,1330418030724,true,PT1022809331,200,MHU,bakancs,8563771665917872437
793,SU61-BrowseCat2-Page,1330418031888,true,PT4022809331,200,MAF,gants,8519304225180884145
1109,SU11-SearchPhrase-Page,1330418031726,true,PT1022809331,200,MHU,bakancs,8600827866532007306
344,SU01-HomePage-Page,1330418032902,true,PT4022809331,200,MPL,315021,8519304225180884145
2346,SU43-Paiment-Page,1330418031606,true,PT3022809331,200,MCZ,42153,
2390,SU61-BrowseCat2-Page,1330418032157,true,PT2022809331,200,KEY,heaters,8660117787514683199
290,SU01-HomePage-Page,1330418034752,true,PT2022809331,200,MSK,obuv,8660117787514683199
2314,SU11-SearchPhrase-Page,1330418033786,true,PT4022809331,200,MPL,315021,8519304225180884145
1204,SU11-SearchPhrase-Page,1330418036052,true,PT2022809331,200,MSK,obuv,8600827866532007352
1896,SU12b-PickProduct-Page,1330418035687,true,PT1022809331,200,MHU,bakancs,8600827866532007306
2342,SU12b-PickProduct-Page,1330418036191,true,PT4022809331,200,MPL,315021,8519304225180884145
1645,SU61-BrowseCat2-Page,1330418037694,true,PT3022809331,200,MCZ,42153,
991,SU31-AddToCart-Page,1330418039102,true,PT4022809331,200,MPL,315021,8519304225180884145
492,SU01-HomePage-Page,1330418039678,true,PT3022809331,200,OIB,chauffage,
847,SU32-GoToCart-Page,1330418040193,true,PT4022809331,200,MPL,315021,8519304225180884145
898,SU31-AddToCart-Page,1330418040316,true,PT1022809331,200,MHU,bakancs,8600827866532007306
823,SU11-SearchPhrase-Page,1330418040487,true,PT3022809331,200,OIB,chauffage,8563771665917886667
1271,SU12b-PickProduct-Page,1330418040192,true,PT2022809331,200,MSK,obuv,8600827866532007352
307,SU41-CustomerDetails-Page,1330418041738,true,PT4022809331,200,MPL,315021,8519304225180884145
1126,SU12b-PickProduct-Page,1330418041847,true,PT3022809331,200,OIB,chauffage,8563771665917886667
723,SU31-AddToCart-Page,1330418042425,true,PT2022809331,200,MSK,obuv,8600827866532007352
1279,SU32-GoToCart-Page,1330418042097,true,PT1022809331,200,MHU,bakancs,8600827866532007306
267,SU42-DeliveryAndBilling-Page,1330418043399,true,PT4022809331,200,MPL,315021,8519304225180884145
1011,SU43-Paiment-Page,1330418043683,true,PT4022809331,200,MPL,315021,8519304225180884145
317,SU41-CustomerDetails-Page,1330418044682,true,PT1022809331,200,MHU,bakancs,8600827866532007306
496,SU31-AddToCart-Page,1330418044593,true,PT3022809331,200,OIB,chauffage,8563771665917886667
798,SU32-GoToCart-Page,1330418044787,true,PT2022809331,200,MSK,obuv,8600827866532007352
312,SU41-CustomerDetails-Page,1330418045682,true,PT2022809331,200,MSK,obuv,8600827866532007352
266,SU42-DeliveryAndBilling-Page,1330418046296,true,PT2022809331,200,MSK,obuv,8600827866532007352
587,SU32-GoToCart-Page,1330418046484,true,PT3022809331,200,OIB,chauffage,8563771665917886667
265,SU42-DeliveryAndBilling-Page,1330418047209,true,PT1022809331,200,MHU,bakancs,8600827866532007306
184,SU41-CustomerDetails-Page,1330418048261,true,PT3022809331,200,OIB,chauffage,8563771665917886667
1059,SU43-Paiment-Page,1330418047940,true,PT2022809331,200,MSK,obuv,8600827866532007352
300,SU42-DeliveryAndBilling-Page,1330418049808,true,PT3022809331,200,OIB,chauffage,8563771665917886667
2363,SU61-BrowseCat2-Page,1330418048000,true,PT4022809331,200,MPL,315021,8519304225180884145
1067,SU43-Paiment-Page,1330418049452,true,PT1022809331,200,MHU,bakancs,8600827866532007306
602,SU43-Paiment-Page,1330418051284,true,PT3022809331,200,OIB,chauffage,8563771665917886667
300,SU01-HomePage-Page,1330418051629,true,PT4022809341,200,OID,whiteboard,8519304225180884145
1373,SU61-BrowseCat2-Page,1330418051231,true,PT1022809331,200,MHU,bakancs,8600827866532007306
668,SU01-HomePage-Page,1330418053095,true,PT1022809341,200,OIN,locker,8600827866532007306
919,SU11-SearchPhrase-Page,1330418053282,true,PT4022809341,200,OID,whiteboard,8563771665917892536
1703,SU61-BrowseCat2-Page,1330418053150,true,PT2022809331,200,MSK,obuv,8600827866532007352
221,SU01-HomePage-Page,1330418055471,true,PT2022809341,200,WDK,teippi,8600827866532007352
572,SU61-BrowseCat2-Page,1330418055844,true,PT3022809331,200,OIB,chauffage,8563771665917886667
1480,SU12b-PickProduct-Page,1330418055498,true,PT4022809341,200,OID,whiteboard,8563771665917892536
1377,SU11-SearchPhrase-Page,1330418055621,true,PT1022809341,200,OIN,locker,8563771665917860636
786,SU31-AddToCart-Page,1330418057265,true,PT4022809341,200,OID,whiteboard,8563771665917892536
247,SU01-HomePage-Page,1330418058015,true,PT3022809341,200,WFI,laatikot,8563771665917886667
645,SU32-GoToCart-Page,1330418058276,true,PT4022809341,200,OID,whiteboard,8563771665917892536
773,SU11-SearchPhrase-Page,1330418058409,true,PT2022809341,200,WDK,teippi,8482248024566671648
1021,SU11-SearchPhrase-Page,1330418059357,true,PT3022809341,200,WFI,laatikot,8482248024566668305
365,SU41-CustomerDetails-Page,1330418060016,true,PT4022809341,200,OID,whiteboard,8563771665917892536
2778,SU12b-PickProduct-Page,1330418057784,true,PT1022809341,200,OIN,locker,8563771665917860636
1613,SU12b-PickProduct-Page,1330418060131,true,PT2022809341,200,WDK,teippi,8482248024566671648
585,SU31-AddToCart-Page,1330418062329,true,PT2022809341,200,WDK,teippi,8482248024566671648
694,SU42-DeliveryAndBilling-Page,1330418062573,true,PT4022809341,200,OID,whiteboard,8563771665917892536
1398,SU31-AddToCart-Page,1330418061974,true,PT1022809341,200,OIN,locker,8563771665917860636
1126,SU32-GoToCart-Page,1330418063176,true,PT2022809341,200,WDK,teippi,8482248024566671648
1239,SU12b-PickProduct-Page,1330418063114,true,PT3022809341,200,WFI,laatikot,8482248024566668305
1521,SU32-GoToCart-Page,1330418063647,true,PT1022809341,200,OIN,locker,8563771665917860636
745,SU41-CustomerDetails-Page,1330418065531,true,PT1022809341,200,OIN,locker,8563771665917860636
1818,SU43-Paiment-Page,1330418064571,true,PT4022809341,200,OID,whiteboard,8563771665917892536
452,SU41-CustomerDetails-Page,1330418066389,true,PT2022809341,200,WDK,teippi,8482248024566671648
990,SU31-AddToCart-Page,1330418066875,true,PT3022809341,200,WFI,laatikot,8482248024566668305
1078,SU42-DeliveryAndBilling-Page,1330418067146,true,PT1022809341,200,OIN,locker,8563771665917860636
845,SU42-DeliveryAndBilling-Page,1330418067504,true,PT2022809341,200,WDK,teippi,8482248024566671648
808,SU61-BrowseCat2-Page,1330418069316,true,PT4022809341,200,OID,whiteboard,8563771665917892536
1254,SU32-GoToCart-Page,1330418069202,true,PT3022809341,200,WFI,laatikot,8482248024566668305
292,SU01-HomePage-Page,1330418070201,true,PT4022809341,200,WNO,49340,8563771665917892536
1934,SU43-Paiment-Page,1330418069782,true,PT2022809341,200,WDK,teippi,8482248024566671648
596,SU41-CustomerDetails-Page,1330418071288,true,PT3022809341,200,WFI,laatikot,8482248024566668305
2338,SU43-Paiment-Page,1330418070404,true,PT1022809341,200,OIN,locker,8563771665917860636
1161,SU11-SearchPhrase-Page,1330418071934,true,PT4022809341,200,WNO,49340,8563771665917892536
1009,SU42-DeliveryAndBilling-Page,1330418072583,true,PT3022809341,200,WFI,laatikot,8482248024566668305
958,SU12b-PickProduct-Page,1330418074316,true,PT4022809341,200,WNO,49340,8563771665917892536
870,SU31-AddToCart-Page,1330418075603,true,PT4022809341,200,WNO,49340,8563771665917892536
904,SU61-BrowseCat2-Page,1330418076029,true,PT2022809341,200,WDK,teippi,8482248024566671648
2627,SU43-Paiment-Page,1330418075805,true,PT3022809341,200,WFI,laatikot,8482248024566668305
881,SU32-GoToCart-Page,1330418077804,true,PT4022809341,200,WNO,49340,8563771665917892536
317,SU01-HomePage-Page,1330418078546,true,PT2022809341,200,WSW,nilfisk,8482248024566671648
858,SU61-BrowseCat2-Page,1330418078054,true,PT1022809341,200,OIN,locker,8563771665917860636
310,SU41-CustomerDetails-Page,1330418079460,true,PT4022809341,200,WNO,49340,8563771665917892536
296,SU42-DeliveryAndBilling-Page,1330418080295,true,PT4022809341,200,WNO,49340,8563771665917892536
1003,SU11-SearchPhrase-Page,1330418079739,true,PT2022809341,200,WSW,nilfisk,8504481744935166969
350,SU01-HomePage-Page,1330418080856,true,PT1022809341,200,MRU,<EOF>,8563771665917860636
978,SU43-Paiment-Page,1330418080630,true,PT4022809341,200,WNO,49340,8563771665917892536
1794,SU61-BrowseCat2-Page,1330418081231,true,PT1022809341,200,MRU,<EOF>,8645295307269003693
535,SU61-BrowseCat2-Page,1330418083965,true,PT4022809341,200,WNO,49340,8563771665917892536
1033,SU61-BrowseCat2-Page,1330418084026,true,PT3022809341,200,WFI,laatikot,8482248024566668305
259,SU01-HomePage-Page,1330418084801,true,PT4022809341,200,FAB,devidoir,8563771665917892536
565,SU11-SearchPhrase-Page,1330418087006,true,PT4022809341,200,FAB,devidoir,8563771665917880357
3125,SU12b-PickProduct-Page,1330418084551,true,PT1022809341,200,MRU,<EOF>,8645295307269003693
5562,SU12b-PickProduct-Page,1330418082271,true,PT2022809341,200,WSW,nilfisk,8504481744935166969
441,SU01-HomePage-Page,1330418087405,true,PT3022809341,200,KEY,Winter Heaters,8482248024566668305
1190,SU31-AddToCart-Page,1330418088485,true,PT1022809341,200,MRU,<EOF>,8645295307269003693
1084,SU12b-PickProduct-Page,1330418089388,true,PT4022809341,200,FAB,devidoir,8563771665917880357
745,SU32-GoToCart-Page,1330418089818,true,PT1022809341,200,MRU,<EOF>,8645295307269003693
1593,SU11-SearchPhrase-Page,1330418089127,true,PT3022809341,200,KEY,Winter Heaters,8660117787514688450
387,SU41-CustomerDetails-Page,1330418090698,true,PT1022809341,200,MRU,<EOF>,8645295307269003693
3115,SU31-AddToCart-Page,1330418088792,true,PT2022809341,200,WSW,nilfisk,8504481744935166969
358,SU42-DeliveryAndBilling-Page,1330418091591,true,PT1022809341,200,MRU,<EOF>,8645295307269003693
563,SU31-AddToCart-Page,1330418092555,true,PT4022809341,200,FAB,devidoir,8563771665917880357
1491,SU32-GoToCart-Page,1330418093173,true,PT2022809341,200,WSW,nilfisk,8504481744935166969
