t,lb,ts,s,userId,rc,shop,search__phrase,productId,hrts,tsn
754,SU01-HomePage-Page,1330419301862,true,PT1022809551,200,MAF,gants,,2012-02-28T08:55:01.862Z,1330419301862
836,SU11-SearchPhrase-Page,1330419314391,true,PT1022809551,200,MAF,gants,8519304225180894762,2012-02-28T08:55:14.391Z,1330419314391
1177,SU12b-PickProduct-Page,1330419324275,true,PT1022809551,200,MAF,gants,8519304225180894762,2012-02-28T08:55:24.275Z,1330419324275
613,SU31-AddToCart-Page,1330419334583,true,PT1022809551,200,MAF,gants,8519304225180894762,2012-02-28T08:55:34.583Z,1330419334583
363,SU01-HomePage-Page,1330419343455,true,PT2022809551,200,MAF,bidon,,2012-02-28T08:55:43.455Z,1330419343455
998,SU32-GoToCart-Page,1330419346415,true,PT1022809551,200,MAF,gants,8519304225180894762,2012-02-28T08:55:46.415Z,1330419346415
757,SU11-SearchPhrase-Page,1330419354231,true,PT2022809551,200,MAF,bidon,8519304225180876557,2012-02-28T08:55:54.231Z,1330419354231
541,SU41-CustomerDetails-Page,1330419356874,true,PT1022809551,200,MAF,gants,8519304225180894762,2012-02-28T08:55:56.874Z,1330419356874
710,SU42-DeliveryAndBilling-Page,1330419365868,true,PT1022809551,200,MAF,gants,8519304225180894762,2012-02-28T08:56:05.868Z,1330419365868
1496,SU12b-PickProduct-Page,1330419365655,true,PT2022809551,200,MAF,bidon,8519304225180876557,2012-02-28T08:56:05.655Z,1330419365655
1824,SU43-Paiment-Page,1330419376738,true,PT1022809551,200,MAF,gants,8519304225180894762,2012-02-28T08:56:16.738Z,1330419376738
683,SU31-AddToCart-Page,1330419378350,true,PT2022809551,200,MAF,bidon,8519304225180876557,2012-02-28T08:56:18.350Z,1330419378350
369,SU01-HomePage-Page,1330419384967,true,PT3022809561,200,MAF,signalisation,,2012-02-28T08:56:24.967Z,1330419384967
930,SU32-GoToCart-Page,1330419389438,true,PT2022809551,200,MAF,bidon,8519304225180876557,2012-02-28T08:56:29.438Z,1330419389438
588,SU11-SearchPhrase-Page,1330419396139,true,PT3022809561,200,MAF,signalisation,8519304225180871538,2012-02-28T08:56:36.139Z,1330419396139
754,SU41-CustomerDetails-Page,1330419398826,true,PT2022809551,200,MAF,bidon,8519304225180876557,2012-02-28T08:56:38.826Z,1330419398826
1677,SU61-BrowseCat2-Page,1330419400134,true,PT1022809551,200,MAF,gants,8519304225180894762,2012-02-28T08:56:40.134Z,1330419400134
727,SU12b-PickProduct-Page,1330419405962,true,PT3022809561,200,MAF,signalisation,8519304225180871538,2012-02-28T08:56:45.962Z,1330419405962
352,SU01-HomePage-Page,1330419409807,true,PT1022809561,200,KEY,heaters,8519304225180894762,2012-02-28T08:56:49.807Z,1330419409807
715,SU42-DeliveryAndBilling-Page,1330419409573,true,PT2022809551,200,MAF,bidon,8519304225180876557,2012-02-28T08:56:49.573Z,1330419409573
649,SU31-AddToCart-Page,1330419419430,true,PT3022809561,200,MAF,signalisation,8519304225180871538,2012-02-28T08:56:59.430Z,1330419419430
937,SU11-SearchPhrase-Page,1330419420170,true,PT1022809561,200,KEY,heaters,8660117787514683199,2012-02-28T08:57:00.170Z,1330419420170
1974,SU43-Paiment-Page,1330419420656,true,PT2022809551,200,MAF,bidon,8519304225180876557,2012-02-28T08:57:00.656Z,1330419420656
654,SU01-HomePage-Page,1330419426557,true,PT4022809571,200,OIN,locker,,2012-02-28T08:57:06.557Z,1330419426557
794,SU32-GoToCart-Page,1330419432095,true,PT3022809561,200,MAF,signalisation,8519304225180871538,2012-02-28T08:57:12.095Z,1330419432095
3284,SU12b-PickProduct-Page,1330419432042,true,PT1022809561,200,KEY,heaters,8660117787514683199,2012-02-28T08:57:12.042Z,1330419432042
554,SU11-SearchPhrase-Page,1330419436769,true,PT4022809571,200,OIN,locker,8563771665917837637,2012-02-28T08:57:16.769Z,1330419436769
518,SU41-CustomerDetails-Page,1330419443110,true,PT3022809561,200,MAF,signalisation,8519304225180871538,2012-02-28T08:57:23.110Z,1330419443110
720,SU61-BrowseCat2-Page,1330419444973,true,PT2022809551,200,MAF,bidon,8519304225180876557,2012-02-28T08:57:24.973Z,1330419444973
1056,SU12b-PickProduct-Page,1330419447047,true,PT4022809571,200,OIN,locker,8563771665917837637,2012-02-28T08:57:27.047Z,1330419447047
1058,SU31-AddToCart-Page,1330419447314,true,PT1022809561,200,KEY,heaters,8660117787514683199,2012-02-28T08:57:27.314Z,1330419447314
337,SU01-HomePage-Page,1330419453977,true,PT2022809572,200,MAF,caisse,8519304225180876557,2012-02-28T08:57:33.977Z,1330419453977
850,SU42-DeliveryAndBilling-Page,1330419453657,true,PT3022809561,200,MAF,signalisation,8519304225180871538,2012-02-28T08:57:33.657Z,1330419453657
1334,SU31-AddToCart-Page,1330419457894,true,PT4022809571,200,OIN,locker,8563771665917837637,2012-02-28T08:57:37.894Z,1330419457894
746,SU32-GoToCart-Page,1330419458824,true,PT1022809561,200,KEY,heaters,8660117787514683199,2012-02-28T08:57:38.824Z,1330419458824
788,SU11-SearchPhrase-Page,1330419465040,true,PT2022809572,200,MAF,caisse,8519304225180883243,2012-02-28T08:57:45.040Z,1330419465040
1529,SU43-Paiment-Page,1330419465809,true,PT3022809561,200,MAF,signalisation,8519304225180871538,2012-02-28T08:57:45.809Z,1330419465809
301,SU01-HomePage-Page,1330419468055,true,PT5022809571,200,MAF,servante,,2012-02-28T08:57:48.055Z,1330419468055
468,SU41-CustomerDetails-Page,1330419468717,true,PT1022809561,200,KEY,heaters,8660117787514683199,2012-02-28T08:57:48.717Z,1330419468717
1032,SU32-GoToCart-Page,1330419470260,true,PT4022809571,200,OIN,locker,8563771665917837637,2012-02-28T08:57:50.260Z,1330419470260
1371,SU12b-PickProduct-Page,1330419476733,true,PT2022809572,200,MAF,caisse,8519304225180883243,2012-02-28T08:57:56.733Z,1330419476733
730,SU11-SearchPhrase-Page,1330419477816,true,PT5022809571,200,MAF,servante,8519304225180863821,2012-02-28T08:57:57.816Z,1330419477816
879,SU42-DeliveryAndBilling-Page,1330419478749,true,PT1022809561,200,KEY,heaters,8660117787514683199,2012-02-28T08:57:58.749Z,1330419478749
815,SU41-CustomerDetails-Page,1330419479526,true,PT4022809571,200,OIN,locker,8563771665917837637,2012-02-28T08:57:59.526Z,1330419479526
